DATE,STARS
2019-01-01,1
2019-01-02,3
2019-01-03,5
2019-01-04,2
2019-01-05,3
2019-01-06,3
2019-01-07,2
2019-01-08,3
2019-01-09,4
2019-01-10,2
2019-01-11,5
2019-01-12,4
2019-01-13,6
2019-01-14,2
2019-01-15,3
2019-01-16,7
2019-01-17,3
2019-01-18,1
2019-01-19,1
2019-01-20,2
2019-01-21,6
2019-01-22,2
2019-01-23,3
2019-01-24,3
2019-01-25,3
2019-01-26,4
2019-01-27,4
2019-01-28,3
2019-01-29,3
2019-01-30,3
2019-01-31,4
2019-02-02,2
2019-02-04,4
2019-02-05,4
2019-02-06,2
2019-02-07,4
2019-02-08,4
2019-02-09,3
2019-02-10,3
2019-02-11,3
2019-02-12,2
2019-02-13,3
2019-02-14,4
2019-02-15,5
2019-02-16,6
2019-02-17,3
2019-02-18,1
2019-02-19,3
2019-02-20,4
2019-02-21,2
2019-02-22,1
2019-02-23,4
2019-02-24,4
2019-02-25,3
2019-02-27,4
2019-02-28,4
2019-03-01,3
2019-03-02,2
2019-03-03,2
2019-03-04,2
2019-03-05,4
2019-03-06,4
2019-03-07,3
2019-03-08,4
2019-03-09,5
2019-03-10,1
2019-03-11,2
2019-03-12,1
2019-03-14,3
2019-03-15,5
2019-03-16,5
2019-03-17,1
2019-03-18,3
2019-03-19,4
2019-03-20,8
2019-03-21,4
2019-03-22,2
2019-03-24,4
2019-03-25,3
2019-03-26,1
2019-03-27,6
2019-03-28,6
2019-03-29,8
2019-03-30,3
2019-03-31,7
2019-04-01,3
2019-04-02,1
2019-04-03,4
2019-04-04,3
2019-04-05,3
2019-04-06,4
2019-04-07,2
2019-04-08,5
2019-04-09,5
2019-04-10,1
2019-04-11,4
2019-04-12,1
2019-04-13,2
2019-04-14,5
2019-04-15,1
2019-04-16,5
2019-04-17,4
2019-04-18,4
2019-04-19,6
2019-04-20,7
2019-04-21,8
2019-04-22,5
2019-04-23,3
2019-04-24,4
2019-04-25,5
2019-04-26,3
2019-04-27,3
2019-04-28,3
2019-04-29,6
2019-04-30,5
2019-05-01,1
2019-05-02,1
2019-05-03,2
2019-05-04,2
2019-05-05,4
2019-05-07,3
2019-05-08,4
2019-05-09,2
2019-05-10,4
2019-05-11,4
2019-05-12,5
2019-05-13,3
2019-05-14,3
2019-05-15,5
2019-05-16,4
2019-05-17,4
2019-05-19,4
2019-05-20,4
2019-05-21,6
2019-05-22,2
2019-05-23,2
2019-05-24,5
2019-05-25,3
2019-05-26,3
2019-05-27,3
2019-05-28,5
2019-05-29,3
2019-05-30,1
2019-05-31,2
2019-06-01,3
2019-06-02,6
2019-06-03,4
2019-06-04,4
2019-06-05,3
2019-06-06,7
2019-06-07,4
2019-06-08,6
2019-06-09,1
2019-06-10,2
2019-06-11,7
2019-06-12,2
2019-06-13,5
2019-06-14,5
2019-06-15,4
2019-06-16,1
2019-06-17,4
2019-06-18,2
2019-06-19,5
2019-06-20,1
2019-06-21,1
2019-06-22,4
2019-06-23,1
2019-06-24,4
2019-06-25,2
2019-06-26,4
2019-06-27,3
2019-06-28,6
2019-06-29,2
2019-06-30,2
2019-07-01,2
2019-07-02,4
2019-07-03,4
2019-07-04,7
2019-07-05,2
