DATE,STARS
2019-01-01,5
2019-01-02,2
2019-01-03,3
2019-01-04,1
2019-01-05,6
2019-01-06,5
2019-01-07,4
2019-01-08,3
2019-01-09,1
2019-01-10,3
2019-01-11,7
2019-01-12,5
2019-01-13,4
2019-01-14,5
2019-01-15,4
2019-01-16,2
2019-01-17,2
2019-01-18,3
2019-01-20,4
2019-01-21,5
2019-01-22,5
2019-01-23,2
2019-01-24,3
2019-01-25,7
2019-01-26,5
2019-01-27,3
2019-01-28,2
2019-01-29,2
2019-01-30,2
2019-01-31,3
2019-02-01,5
2019-02-02,3
2019-02-03,6
2019-02-04,8
2019-02-05,5
2019-02-06,2
2019-02-07,3
2019-02-08,4
2019-02-09,1
2019-02-10,2
2019-02-11,7
2019-02-12,3
2019-02-13,2
2019-02-14,2
2019-02-15,3
2019-02-16,4
2019-02-17,2
2019-02-18,6
2019-02-20,2
2019-02-21,2
2019-02-22,5
2019-02-23,4
2019-02-24,4
2019-02-25,3
2019-02-26,5
2019-02-27,2
2019-02-28,2
2019-03-01,5
2019-03-02,1
2019-03-03,3
2019-03-04,1
2019-03-05,3
2019-03-06,7
2019-03-07,3
2019-03-08,3
2019-03-09,6
2019-03-10,2
2019-03-11,3
2019-03-12,4
2019-03-13,4
2019-03-14,5
2019-03-15,5
2019-03-16,3
2019-03-17,6
2019-03-18,3
2019-03-19,1
2019-03-20,9
2019-03-21,6
2019-03-22,2
2019-03-23,5
2019-03-24,4
2019-03-25,8
2019-03-26,1
2019-03-27,4
2019-03-28,6
2019-03-29,7
2019-03-30,5
2019-03-31,3
2019-04-01,4
2019-04-02,6
2019-04-03,6
2019-04-04,3
2019-04-05,4
2019-04-06,3
2019-04-07,6
2019-04-09,7
2019-04-10,6
2019-04-11,3
2019-04-12,5
2019-04-13,3
2019-04-14,3
2019-04-15,2
2019-04-16,9
2019-04-17,3
2019-04-18,3
2019-04-19,5
2019-04-20,2
2019-04-21,3
2019-04-22,4
2019-04-23,5
2019-04-24,1
2019-04-25,3
2019-04-26,4
2019-04-27,3
2019-04-28,3
2019-04-29,3
2019-04-30,1
2019-05-01,7
2019-05-02,4
2019-05-03,4
2019-05-04,3
2019-05-05,1
2019-05-06,6
2019-05-07,3
2019-05-08,2
2019-05-09,4
2019-05-10,2
2019-05-11,1
2019-05-12,4
2019-05-13,3
2019-05-14,2
2019-05-15,3
2019-05-16,4
2019-05-17,4
2019-05-18,3
2019-05-19,4
2019-05-20,5
2019-05-22,3
2019-05-23,5
2019-05-24,3
2019-05-25,2
2019-05-26,8
2019-05-27,4
2019-05-28,3
2019-05-29,3
2019-05-30,4
2019-05-31,2
2019-06-01,2
2019-06-02,3
2019-06-03,4
2019-06-04,3
2019-06-05,4
2019-06-06,7
