DATE,STARS
2019-01-01,3
2019-01-02,5
2019-01-03,1
2019-01-04,1
2019-01-05,8
2019-01-06,4
2019-01-07,4
2019-01-08,4
2019-01-09,2
2019-01-10,3
2019-01-11,2
2019-01-12,4
2019-01-13,3
2019-01-14,4
2019-01-15,4
2019-01-16,3
2019-01-17,2
2019-01-18,6
2019-01-19,2
2019-01-20,1
2019-01-21,4
2019-01-22,3
2019-01-23,7
2019-01-24,4
2019-01-25,5
2019-01-26,4
2019-01-27,3
2019-01-28,10
2019-01-29,2
2019-01-30,2
2019-02-01,1
2019-02-02,7
2019-02-03,3
2019-02-04,3
2019-02-06,4
2019-02-07,5
2019-02-08,3
2019-02-10,6
2019-02-11,4
2019-02-12,3
2019-02-13,1
2019-02-14,7
2019-02-15,1
2019-02-16,6
2019-02-17,4
2019-02-18,8
2019-02-19,2
2019-02-20,13
2019-02-21,4
2019-02-22,4
2019-02-23,5
2019-02-24,3
2019-02-25,1
2019-02-26,2
2019-02-27,3
2019-02-28,2
2019-03-01,3
2019-03-02,2
2019-03-03,1
2019-03-04,3
2019-03-05,3
2019-03-06,5
2019-03-07,5
2019-03-08,4
2019-03-09,2
2019-03-10,4
2019-03-12,1
2019-03-13,5
2019-03-14,3
2019-03-15,3
2019-03-16,3
2019-03-17,5
2019-03-18,3
2019-03-20,6
2019-03-21,6
2019-03-22,1
2019-03-23,1
2019-03-24,3
2019-03-25,3
2019-03-26,3
2019-03-27,3
2019-03-28,5
2019-03-29,2
2019-03-30,5
2019-03-31,7
2019-04-01,2
2019-04-02,1
2019-04-03,1
2019-04-04,2
2019-04-05,2
2019-04-06,4
2019-04-07,4
2019-04-08,5
2019-04-09,1
2019-04-10,3
2019-04-11,1
2019-04-12,4
2019-04-13,1
2019-04-14,1
2019-04-15,2
2019-04-16,6
2019-04-17,2
2019-04-18,5
2019-04-19,3
2019-04-20,4
2019-04-21,3
2019-04-22,1
2019-04-23,6
2019-04-24,3
2019-04-26,6
2019-04-27,7
2019-04-28,5
2019-04-29,2
2019-04-30,3
2019-05-01,5
2019-05-02,2
2019-05-03,3
2019-05-04,1
2019-05-05,5
2019-05-06,2
2019-05-07,5
2019-05-08,1
2019-05-09,7
2019-05-10,6
2019-05-11,4
2019-05-12,1
2019-05-13,4
2019-05-14,4
2019-05-15,3
2019-05-16,9
2019-05-17,5
2019-05-18,3
2019-05-19,1
2019-05-20,3
2019-05-21,2
2019-05-22,1
2019-05-23,4
2019-05-24,4
2019-05-25,4
2019-05-26,3
2019-05-27,2
2019-05-28,6
2019-05-29,4
2019-05-30,2
2019-05-31,2
2019-06-01,4
2019-06-02,2
2019-06-03,3
2019-06-04,3
2019-06-05,2
2019-06-06,3
2019-06-07,4
2019-06-08,6
2019-06-09,4
2019-06-10,4
2019-06-12,5
2019-06-13,1
2019-06-14,3
2019-06-15,6
2019-06-16,4
2019-06-17,2
2019-06-18,4
2019-06-19,8
2019-06-20,7
2019-06-21,3
2019-06-22,1
2019-06-23,5
2019-06-24,2
2019-06-25,2
2019-06-26,4
2019-06-27,5
2019-06-28,6
2019-06-29,3
2019-06-30,2
2019-07-01,2
2019-07-02,1
2019-07-03,5
2019-07-04,3
2019-07-06,6
2019-07-07,3
2019-07-08,3
2019-07-09,4
2019-07-10,3
2019-07-11,3
2019-07-12,4
2019-07-13,1
2019-07-14,3
2019-07-15,2
2019-07-16,2
2019-07-17,6
2019-07-18,3
2019-07-19,3
2019-07-20,1
2019-07-21,6
2019-07-22,5
2019-07-23,1
2019-07-24,1
2019-07-25,1
2019-07-26,2
2019-07-27,5
2019-07-28,5
2019-07-29,3
2019-07-30,2
2019-07-31,3
2019-08-01,7
2019-08-02,2
2019-08-03,6
2019-08-04,1
2019-08-05,2
2019-08-06,4
2019-08-07,3
2019-08-08,6
2019-08-09,2
2019-08-10,3
2019-08-11,2
2019-08-12,2
2019-08-14,3
2019-08-15,2
2019-08-16,3
2019-08-17,3
2019-08-18,1
2019-08-19,3
2019-08-20,1
2019-08-21,4
2019-08-22,5
2019-08-23,3
2019-08-24,3
2019-08-25,3
2019-08-26,1
2019-08-27,4
2019-08-28,4
2019-08-29,6
2019-08-30,4
2019-08-31,4
2019-09-01,1
2019-09-05,2
2019-09-06,5
2019-09-07,3
2019-09-08,4
2019-09-09,5
2019-09-10,2
2019-09-11,4
2019-09-12,4
2019-09-13,1
2019-09-14,2
2019-09-15,5
2019-09-16,4
2019-09-17,4
2019-09-18,4
2019-09-19,2
2019-09-20,6
2019-09-23,3
2019-09-24,3
2019-09-25,5
2019-09-26,2
2019-09-27,4
2019-09-28,2
2019-09-29,4
2019-09-30,3
2019-10-01,2
2019-10-02,2
2019-10-03,1
2019-10-04,5
2019-10-05,3
2019-10-06,3
2019-10-07,2
2019-10-08,5
2019-10-09,2
2019-10-11,1
2019-10-12,5
2019-10-13,2
2019-10-14,2
2019-10-15,2
2019-10-16,4
2019-10-17,5
2019-10-18,2
2019-10-19,2
2019-10-20,1
2019-10-21,2
2019-10-22,1
2019-10-23,5
2019-10-24,3
2019-10-25,6
2019-10-26,6
2019-10-27,3
2019-10-28,7
2019-10-29,1
2019-10-30,4
2019-10-31,9
2019-11-01,5
2019-11-03,4
2019-11-04,1
2019-11-05,4
2019-11-07,2
2019-11-08,2
2019-11-09,2
2019-11-10,4
2019-11-11,3
2019-11-12,6
2019-11-13,5
2019-11-14,5
2019-11-15,1
2019-11-16,4
2019-11-17,5
2019-11-18,3
2019-11-19,4
2019-11-20,5
2019-11-21,1
2019-11-23,3
2019-11-24,1
2019-11-25,1
2019-11-26,5
2019-11-27,4
2019-11-28,3
2019-11-29,4
2019-11-30,2
2019-12-01,6
2019-12-02,5
2019-12-03,3
2019-12-04,2
2019-12-05,8
2019-12-06,3
2019-12-07,4
2019-12-08,2
2019-12-09,3
2019-12-10,6
2019-12-11,3
2019-12-12,3
2019-12-13,2
2019-12-14,4
2019-12-16,2
2019-12-17,2
2019-12-18,5
2019-12-19,3
2019-12-20,2
2019-12-21,3
2019-12-22,4
2019-12-23,3
2019-12-25,4
2019-12-26,4
2019-12-27,4
2019-12-28,3
2019-12-29,4
2019-12-30,3
2019-12-31,2
